mid,name,director,scriptwriter,mainPlayers,categories,productCountry,tags,ratingCount,star5,star4,star3,star2,star1,language
10434583,我为喜剧狂 第六季 30 Rock Season 6,,蒂娜·菲,蒂娜·菲 Tina Fey,喜剧;,美国;,美剧;喜剧;NBC;2012;美国;30rock;电视剧;sitcom;,354.0,46.6,39.3,13.0,0.6,0.6, 英语
10438503,穆桂英挂帅,宫晓东,张建广,苗圃,动作;爱情;古装;,中国大陆;,国产电视剧;电视剧;苗圃;古装;罗晋;大陆;中国;穆桂英挂帅;,861.0,7.3,12.8,23.8,20.1,36.0, 汉语普通话
10443393,如果还有明天 第三季 The Big C Season 3,Michael Engler,Darlene Hunt,劳拉·琳妮,剧情;喜剧;,美国;,美剧;Showtime;励志;2012;女性;美国;喜剧;家庭;,533.0,30.8,37.5,29.3,2.3,0.2, 英语
10537866,革命 第一季 Revolution Season 1,Jon Favreau,J·J·艾布拉姆斯,吉安卡罗·埃斯波西托,科幻;,美国;,美剧;科幻;NBC;2012;J·J·Abrams;美国;灾难;电视剧;,278.0,7.2,22.7,36.3,23.4,10.4, 英语
10569867,人人都说我爱你 Tout le monde dit je t'aime,Cécile Ducrocq,Cécile Ducrocq,Romane Barron,短片;,法国;,短片;法国;法国电影;爱情;文艺;2012法国影展;2010;法国电影展映;,316.0,10.8,44.6,40.5,4.1,0.0, 法语
10574622,人再囧途之泰囧,徐峥,徐峥,徐峥,喜剧;,中国大陆;,喜剧;徐峥;王宝强;黄渤;中国电影;搞笑;中国;大陆;,0.0,0.0,0.0,0.0,0.0,0.0, 汉语普通话
10604246,新世纪福音战士 2003重制版 新世紀エヴァンゲリオン,庵野秀明,庵野秀明,,剧情;动作;科幻;动画;,日本;,EVA;动画;日本;庵野秀明;动漫;日本动画;科幻;2003;,323.0,90.1,8.7,1.2,0.0,0.0, 日语
10606004,舌尖上的中国,陈晓卿,,,纪录片;,中国大陆;,纪录片;美食;中国;吃货;CCTV;2012;国产;吃;,56099.0,70.0,24.5,4.9,0.4,0.2, 汉语普通话
10756222,单身毒妈 第八季 Weeds Season 8,Michael Trim,杰姬·科恩,凯特·福斯特,剧情;喜剧;家庭;犯罪;,美国;,美剧;SHOWTIME;weeds;2012;美国;你终于回来啦！！！！啊啊啊啊啊啊！！！！;家庭;喜剧;,296.0,48.6,35.1,14.2,1.7,0.3, 英语
10767510,蛇蝎美人 第二季 femme fatales Season 2,Darin Scott,Darin Scott,Mark Simich,悬疑;惊悚;,美国;,美剧;情色;蛇蝎美人;2012;Cinemax;悬疑;美国;电视剧;,188.0,10.6,22.9,51.1,13.8,1.6, 英语
10772258,麦兜当当伴我心 麥兜‧噹噹伴我心,谢立文,谢立文,黄秋生,喜剧;动画;,中国大陆;香港;,麦兜;动画;香港;温情;成长;2012;童年;励志;,36960.0,36.2,43.2,17.7,2.3,0.7, 汉语普通话 / 粤语
10786089,天桥骄子 第十季 Project Runway Season 10,,,海迪·克卢姆,舞台艺术;,美国;,真人秀;ProjectRunway;美国;美剧;2012;时尚;Fashion;RealityShow;,562.0,28.8,48.8,20.3,1.8,0.4, 英语
10829449,街头之王,岳松,沈诚,岳松,剧情;动作;,中国大陆;,动作;大陆;格斗;中国电影;岳松;中国;2012;国产电影;,352.0,1.2,9.0,21.9,35.9,32.1, 英语 / 汉语普通话
11502153,黑镜 第二季 Black Mirror Season 2,,查理·布洛克,,剧情;科幻;,英国;,英剧;BBC;黑色幽默;英国;2013;电视剧;待追;科幻;,0.0,0.0,0.0,0.0,0.0,0.0, 英语
11527458,超能少年 第四季 Misfits Season 4,Nirpal Bhogal,,约瑟夫·吉尔根,剧情;喜剧;奇幻;,英国;,英剧;科幻;英国;青春;2012;E4;Misfits;UK;,323.0,21.7,38.1,34.1,5.6,0.6, 英语
11594943,驯龙记 第一季 Dragons: Riders of Berk Season 1,Louie del Carmen,克里斯·桑德斯,杰伊·巴鲁切尔,喜剧;动画;,美国;,动画;美国;动画片;dreamworks;2012;喜剧;TV;电影;,171.0,28.7,40.9,28.1,2.3,0.0, 英语
1291543,功夫,周星驰,曾谨昌,周星驰,喜剧;动作;犯罪;奇幻;,中国;香港;,周星驰;喜剧;香港;香港电影;功夫;动作;搞笑;电影;,123092.0,14.5,40.1,38.9,5.6,1.0, 粤语 / 普通话
1291544,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,阿方索·卡隆,斯蒂芬·科洛弗,丹尼尔·雷德克里夫,悬疑;家庭;奇幻;冒险;,英国;美国;,哈利波特;魔幻;美国;HarryPotter;英国;美国电影;奇幻;电影;,88042.0,23.0,48.6,26.4,1.8,0.2, 英语
1291545,大鱼 Big Fish,蒂姆·波顿,Daniel Wallace,伊万·麦克格雷格,剧情;家庭;奇幻;冒险;,美国;,TimBurton;亲情;美国;魔幻;奇幻;童话;美国电影;剧情;,120302.0,51.1,37.6,10.4,0.7,0.1, 英语 / 法语 / 俄语 / 粤语 / 普通话
1291546,霸王别姬,陈凯歌,李碧华,张国荣,剧情;爱情;同性;音乐;战争;,中国大陆;香港;,经典;爱情;同志;中国电影;文艺;人性;人生;剧情;,248393.0,74.1,21.6,4.0,0.3,0.1, 汉语普通话
1291548,死亡诗社 Dead Poets Society,彼得·威尔,Tom Schulman,罗宾·威廉姆斯,剧情;,美国;,成长;美国;青春;励志;教育;死亡诗社;经典;RobinWilliams;,124800.0,54.4,35.3,9.5,0.6,0.1, 英语
1291549,放牛班的春天 Les choristes,克里斯托夫·巴拉蒂,克里斯托夫·巴拉蒂,杰拉尔·朱诺,剧情;音乐;,法国;德国;瑞士;,法国;音乐;放牛班的春天;成长;法国电影;经典;教育;剧情;,204826.0,63.7,30.9,5.2,0.2,0.0, 法语
1291550,天下无贼,冯小刚,王刚,刘德华,剧情;动作;犯罪;,中国;香港;,冯小刚;刘德华;刘若英;中国电影;葛优;喜剧;中国;大陆;,129986.0,13.8,47.2,34.9,3.5,0.6, 普通话
